"SS","YEAR","NEAR.DIST.harvest","MEANAGE.565.harvest"
"CL:C-010-2:2",2008,717.4891088,102.5066681
"CL:C-010-2:2",2009,717.4891088,102.5066681
"CL:C-010-2:2",2010,717.4891088,102.5066681
"CL:C-010-2:2",2011,717.4891088,102.5066681
"CL:C-010-2:2",2012,717.4891088,102.5066681
"CL:C-010-2:2",2014,717.4891088,102.5066681
"CL:C-010-2:2",1993,1000,102.5066681
"CL:C-010-2:2",1994,1000,102.5066681
"CL:C-010-2:2",1995,717.4891088,102.5066681
"CL:C-010-2:2",1996,717.4891088,102.5066681
"CL:C-010-2:2",1997,717.4891088,102.5066681
"CL:C-010-2:2",1998,717.4891088,102.5066681
"CL:C-010-2:2",1999,717.4891088,102.5066681
"CL:C-010-3:1",2000,543.6025583,6
"CL:C-010-3:1",2001,543.6025583,7
"CL:C-010-3:1",2002,543.6025583,8
"CL:C-010-3:1",2003,543.6025583,9
"CL:C-010-3:1",2005,543.6025583,11
"CL:C-010-3:1",2006,543.6025583,12
"CL:C-010-3:1",2007,543.6025583,13
"CL:C-010-3:1",2008,543.6025583,14
"CL:C-010-3:1",2009,543.6025583,15
"CL:C-010-3:1",2010,543.6025583,16
"CL:C-010-3:1",2011,543.6025583,17
"CL:C-010-3:1",2012,543.6025583,18
"CL:C-010-3:1",2014,49.92435062,1.105854461
"CL:C-010-3:1",1993,1000,102.5066681
"CL:C-010-3:1",1994,1000,102.5066681
"CL:C-010-3:1",1995,543.6025583,1
"CL:C-010-3:1",1996,543.6025583,2
"CL:C-010-3:1",1997,543.6025583,3
"CL:C-010-3:1",1998,543.6025583,4
"CL:C-010-3:1",1999,543.6025583,5
"CL:C-010-3:2",2000,477.9656947,6
"CL:C-010-3:2",2001,477.9656947,7
"CL:C-010-3:2",2002,477.9656947,8
"CL:C-010-3:2",2003,477.9656947,9
"CL:C-010-3:2",2005,477.9656947,11
"CL:C-010-3:2",2006,477.9656947,12
"CL:C-010-3:2",2007,477.9656947,13
"CL:C-010-3:2",2008,477.9656947,14
"CL:C-010-3:2",2009,477.9656947,15
"CL:C-010-3:2",2010,477.9656947,16
"CL:C-010-3:2",2011,477.9656947,17
"CL:C-010-3:2",2012,477.9656947,18
"CL:C-010-3:2",2014,187.7495961,2.052229919
"CL:C-010-3:2",1993,1000,102.5066681
"CL:C-010-3:2",1994,1000,102.5066681
"CL:C-010-3:2",1995,477.9656947,1
"CL:C-010-3:2",1996,477.9656947,2
"CL:C-010-3:2",1997,477.9656947,3
"CL:C-010-3:2",1998,477.9656947,4
"CL:C-010-3:2",1999,477.9656947,5
"CL:C-040-1:1-1",2000,739.3595583,102.5066681
"CL:C-040-1:1-1",2001,739.3595583,102.5066681
"CL:C-040-1:1-1",2002,739.3595583,102.5066681
"CL:C-040-1:1-1",2003,739.3595583,102.5066681
"CL:C-040-1:1-1",2005,739.3595583,102.5066681
"CL:C-040-1:1-1",2006,739.3595583,102.5066681
"CL:C-040-1:1-1",2007,739.3595583,102.5066681
"CL:C-040-1:1-1",2008,739.3595583,102.5066681
"CL:C-040-1:1-1",2009,739.3595583,102.5066681
"CL:C-040-1:1-1",2010,739.3595583,102.5066681
"CL:C-040-1:1-1",2011,739.3595583,102.5066681
"CL:C-040-1:1-1",2012,739.3595583,102.5066681
"CL:C-040-1:1-1",2014,739.3595583,102.5066681
"CL:C-040-1:1-1",1993,1000,102.5066681
"CL:C-040-1:1-1",1994,1000,102.5066681
"CL:C-040-1:1-1",1995,739.3595583,102.5066681
"CL:C-040-1:1-1",1996,739.3595583,102.5066681
"CL:C-040-1:1-1",1997,739.3595583,102.5066681
"CL:C-040-1:1-1",1998,739.3595583,102.5066681
"CL:C-040-1:1-1",1999,739.3595583,102.5066681
"CL:C-040-1:1-2",2000,664.2005964,102.5066681
"CL:C-040-1:1-2",2001,664.2005964,102.5066681
"CL:C-040-1:1-2",2002,664.2005964,102.5066681
"CL:C-040-1:1-2",2003,664.2005964,102.5066681
"CL:C-040-1:1-2",2005,664.2005964,102.5066681
"CL:C-040-1:1-2",2006,664.2005964,102.5066681
"CL:C-040-1:1-2",2007,664.2005964,102.5066681
"CL:C-040-1:1-2",2008,664.2005964,102.5066681
"CL:C-040-1:1-2",2009,664.2005964,102.5066681
"CL:C-040-1:1-2",2010,664.2005964,102.5066681
"CL:C-040-1:1-2",2011,664.2005964,102.5066681
"CL:C-040-1:1-2",2012,664.2005964,102.5066681
"CL:C-040-1:1-2",2014,664.2005964,102.5066681
"CL:C-040-1:1-2",1993,1000,102.5066681
"CL:C-040-1:1-2",1994,1000,102.5066681
"CL:C-040-1:1-2",1995,664.2005964,102.5066681
"CL:C-040-1:1-2",1996,664.2005964,102.5066681
"CL:C-040-1:1-2",1997,664.2005964,102.5066681
